"#OTU ID"	"taxonomy"
"db99e065be7ef04c7d83fad3691cc808"	"Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella;Unclassified"
"10baf69bf52b8daa61dee042682ae671"	"Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Psychrobacillus;Unclassified"
"759f40e7074b5be5157a2822a8122b7a"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter;Unclassified"
"268cc48a34ae8703b725a4125232c0f5"	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;iodinum"
"a993eba5ecf2280c2212144c9c585184"	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;asahii"
"18d6aa41db869e43dbf48d5718bbf14f"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;soli"
"f210fb22c7eb0e49b0b9a5e71b798311"	"Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella;palaticanis"
"4803051fe5d7f8e6ad93e1908fcc5506"	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Unclassified"
"ffc8aa4343082017b6542513b7cf0308"	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pasteurellaceae;Nicoletella;semolina"
"1cdf3a6cd8d41b3eafeb2f5c61eadde5"	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Unclassified"
"05860dd09e9ccf475f36e13ac898dc92"	"Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Unclassified"
"c54bac5e37d84cded84d3d3dc7c99dde"	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;longiquaesitum"
"5f620dce4cc2e2d19fd8fb6c69be8a24"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Unclassified"
"1ec1050e5f27b2bf0394669ad545c71a"	"Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales;Nocardiopsaceae;Nocardiopsis;alba"
"e4577e4cae4773d0064cf8247726ded1"	"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus;Unclassified"
"afbecf234597db8984a8e6fd41dd7db9"	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;longiquaesitum"
"2bfd1621dfc294ab376777cfb542c890"	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;longiquaesitum"
"384de900304b8c1d4f34261fe4653561"	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;coli"
"620337578bc79a4be25a30900e59b819"	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pasteurellaceae;Nicoletella;semolina"
"5dba392638a0a7b02d54a2594edf58f7"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Aureimonas;phyllosphaerae"
"8b3f3e28359912009b22626dd2a1fd9e"	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;smithii"
"f7e39519c25d78d104bdc6b6312f4371"	"Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus;Unclassified"
"0a57b4b1048afc7de141dbb769d22656"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;soli"
