"#OTU ID"	"taxonomy"
"b58045573dc6d077bc119a23d45e1bdc"	"Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;namnetense"
"a7c032197022590a98428506bbf37ecd"	"Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;namnetense"
"c79fc5c021041cfc1634de40c2b03f48"	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;massiliogabonensis"
"63b60ed4d6d420de08faa6287c8acfe3"	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;pluranimalium"
"0db9c6aacae47e4998be7d5598e44bf6"	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Unclassified"
"9cc5c421f0da1077571546e48d0f6cac"	"Bacteria;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified"
"45fb56bd4581b2d7ab749d73c9d33582"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;filiscindens"
"b9e5e732a86ddd0d8e507949fe50e449"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;filiscindens"
"a6623b91504737ccb345aa768384dc36"	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;cihuensis"
"843fbfab6f9a434380967deaccb4c2b5"	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;massiliogabonensis"
"0ecf4d001ec7671298bfb802ecce2156"	"Bacteria;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified"
"7c0607ccfd2dccf215d6d29f9a49775e"	"Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;namnetense"
"7fa9b4a0d36e1c71042b311407a72de2"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;caprae"
"33ca9bf1a881c40a3f6331c662dae42b"	"Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella;palaticanis"
"ef70300a591ee05e1a28a128c2ecc533"	"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus;nagyae"
"655f9b0e24f679a66e0024fa8a2f5ae4"	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;pluranimalium"
"310e6d051cf1a85c2c5caa3f7bc46897"	"Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;namnetense"
"1d3f2b48a2a0d169230ec93fd3955f5d"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;Unclassified"
"7fe09700d57152dd5d10c883a4204e5f"	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;pluranimalium"
